author,now_price,pre_price,short_title,title
高雪,¥39.50,¥79.00, 剪映专业版从新手到高手, 剪映专业版从新手到高手 全彩印刷 超值附送72个视频，时长达145分钟，扫码即可直接观看。
任媛媛,¥34.90,¥69.80, 中文版Premiere Pro 2023入门教程, 中文版Premiere Pro 2023入门教程 Premiere pro 2023新版讲解，功能讲解+课堂案例+课后习题+综合案例，从基础讲解以案例为主线，附赠全书素材文件，教学视频及PPT课件。
蒂姆·拉夫加登,¥34.90,¥69.80, 算法详解 卷3 贪心算法和动态规划, 算法详解 卷3 贪心算法和动态规划 《算法详解》四部曲第三卷，详细讲解算法理念，展现算法本质，一本囊括基本算法知识的详解指南，集哥伦比亚大学教授多年教学经验，深入浅出，通俗易懂。
偷懒的技术,¥44.90,¥89.80, PPT表达力：从Excel到PPT完美展示（案例 视频）不要让糟糕的设计毁了数据—从excel表格到ppt数据可视化 p, PPT表达力：从Excel到PPT完美展示（案例 视频）不要让糟糕的设计毁了数据—从excel表格到ppt数据可视化 p 实现从Excel数据到PPT的可视化分析
弗莱彻·邓恩,¥99.50,¥199.00, 3D数学基础：图形和游戏开发（第2版）, 3D数学基础：图形和游戏开发（第2版） 新版全新升级，内容更加全面！从游戏中了解数学知识，提升开发技能。从数学中掌握世界的模拟方式，全新感受3D数学、三维空间的几何和代数这些具有生命力的知识！
唯美世界,¥64.00,¥128.00, 中文版Adobe Illustrator 2022完全案例教程（微课视频版）ai教程书籍教材 平面设计与制作 illus," 中文版Adobe Illustrator 2022完全案例教程（微课视频版）ai教程书籍教材 平面设计与制作 illus Illustrator2022新版Adobe专家编写，手机扫码看243集视频,赠配套实例素材、设计素材、设计宝典、速查手册、PPT课件、PS基础视频、CorelDRAW基础视频"
Feff,¥34.90,¥69.80, 用户故事地图, 用户故事地图 
明日科技,¥39.90,¥79.80, Python算法设计与分析从入门到精通, Python算法设计与分析从入门到精通 112个算法实例+136集Python零基础扫盲课，零基础入门，主流算法，全面解析，实例丰富，快速提升，一本书破解面试难题+编程压力。
成刚,¥44.50,¥89.00, Wi-Fi 7开发参考：技术原理、标准和应用, Wi-Fi 7开发参考：技术原理、标准和应用 
符剑,¥64.00,¥128.00, PDMC三维流程工厂设计完全手册：AutoCAD Plant 3D + Autodesk Inventor + Navi, PDMC三维流程工厂设计完全手册：AutoCAD Plant 3D + Autodesk Inventor + Navi 三维流程工厂实用设计技巧和工具，有效提高设计效率
唯美,¥64.00,¥128.00, ae书籍中文版After Effects 2022从入门到精通（微课视频全彩版唯美世界）短视频剪辑教程 影视后期特效 A, ae书籍中文版After Effects 2022从入门到精通（微课视频全彩版唯美世界）短视频剪辑教程 影视后期特效 A 135集同步视频+78个实例案例讲解，手机扫码看视频+在线交流，百万加读者喜爱的唯美系列，视频后期处理/特效制作/视频剪辑，赠Premiere基础视频+PS基础视频
Delip,¥34.00,¥68.00, 基于PyTorch的自然语言处理, 基于PyTorch的自然语言处理 这是一本应用PyTorch探索自然语言处理和深度学习很棒的书。
张益珲,¥49.00,¥98.00, 循序渐进Vue.js 3.x前端开发实战, 循序渐进Vue.js 3.x前端开发实战 百万阅读博主，大前端架构师，畅销书作者，Vue全家桶与周边工具整合开发不传之秘。
