Phrase,Frequency
ATR42-320,1
Shaanxi Y-8GX-3,1
Eurocopter EC 130B4,1
Antonov AN-148-100,1
ATR 72-212,1
Eurocopter AS 350B2,1
de Havilland Canada DHC-8-402Q Dash 8,1
Ilyushin 76-TD,1
Boeing 737-7H4,1
Lockheed HC-130H Hercules,1
Boeing 737-201,1
Cessna 208B Grand Carivan,1
Junkers JU-52,1
Ilyushin Il-20M,1
Boeing 737-8BK,1
Boeing 737-MAX 8,1
Boeing 757-N23,1
Boeing 707-3J9C,1
Boeing 767-375ER,1
Douglas DC-3,1
Boeing 737 Max 8,1
Pilatus-Britten Norman BN-2B-27 Islander,1
Canadair CL-600-2B16-Challenger,1
Sukhoi Superjet-100-95B,1
Beechcraft B300 King Air,1
Convair CV-440F,1
Dornier 228-201,1
Antonov An12-A,1
Boeing 737-8KV WL,1
Boeing 737-86J,1
IAI 1124A Westwind II,1
Antonov An26SH,1
Boeing 737-524,1
Let L-410UVP-E,1
Eurocopter AS350B3 Ecureuil,1
Beechcraft B300 King Air 350i,1
Antonov An 26B-100,1
Boeing 737-89P WL,1
ATR 42-500,1
Airbus 320-271N,1
ATR 72-500-72-212-A,1
Embraer EMB-110P1 Bandeirante,1
Airbus A350-941/de HavillaDHC -8-315Q,1
